source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,sales_data,transaction_id,bronze,sales_data_bronze,transaction_id,type_cast,int
landing,sales_data,transaction_date,bronze,sales_data_bronze,transaction_date,lowercase,lowercase
landing,sales_data,product_id,bronze,sales_data_bronze,product_id,type_cast,int
landing,sales_data,store_id,bronze,sales_data_bronze,store_id,type_cast,int
landing,sales_data,total_amount,bronze,sales_data_bronze,total_amount,type_cast,float
landing,sales_data,*,bronze,sales_data_bronze,_load_timestamp,metadata_inject,_load_timestamp
landing,sales_data,*,bronze,sales_data_bronze,_source_file,metadata_inject,_source_file
landing,products,product_id,bronze,products_bronze,product_id,type_cast,int
landing,products,product_name,bronze,products_bronze,product_name,lowercase,lowercase
landing,products,category,bronze,products_bronze,category,lowercase,lowercase
landing,products,price,bronze,products_bronze,price,type_cast,float
landing,products,*,bronze,products_bronze,_load_timestamp,metadata_inject,_load_timestamp
landing,products,*,bronze,products_bronze,_source_file,metadata_inject,_source_file
landing,stores,store_id,bronze,stores_bronze,store_id,type_cast,int
landing,stores,store_name,bronze,stores_bronze,store_name,lowercase,lowercase
landing,stores,region,bronze,stores_bronze,region,lowercase,lowercase
landing,stores,*,bronze,stores_bronze,_load_timestamp,metadata_inject,_load_timestamp
landing,stores,*,bronze,stores_bronze,_source_file,metadata_inject,_source_file
